Date,TP,Genotype,Tag,Temp (C),wet weight (g),Salinity (ppt),calcDensity,Density of seawater (g/cm3),Density of aragonite (g/cm3),Density (seawater/aragonite),1-[Density (SW/A)],Dry weight (g)
2/3/2024,T0,M9,9,25.9,3.0197,34.6,1022.79154,1.02279154,2.93,0.3490756109,0.6509243891,4.639094879
2/3/2024,T0,SI,2,25.9,1.6574,34.6,1022.79154,1.02279154,2.93,0.3490756109,0.6509243891,2.546225073
2/3/2024,T0,M9,1,25.9,2.1018,34.6,1022.79154,1.02279154,2.93,0.3490756109,0.6509243891,3.228946457
2/3/2024,T0,M9,8,25.9,1.0506,34.6,1022.79154,1.02279154,2.93,0.3490756109,0.6509243891,1.614012346
2/3/2024,T0,SI,5,25.8,1.9289,34.6,1022.822545,1.022822545,2.93,0.349086193,0.650913807,2.963372384
2/3/2024,T0,C,3,25.9,1.7695,34.6,1022.79154,1.02279154,2.93,0.3490756109,0.6509243891,2.718441696
2/3/2024,T0,M9,4,25.8,0.7887,34.6,1022.822545,1.022822545,2.93,0.349086193,0.650913807,1.211681165
2/3/2024,T0,SI,4,25.8,3.4429,34.6,1022.822545,1.022822545,2.93,0.349086193,0.650913807,5.289333185
2/3/2024,T0,SI,11,25.8,0.8451,34.6,1022.822545,1.022822545,2.93,0.349086193,0.650913807,1.298328582
2/3/2024,T0,C,13,25.8,0.964,34.6,1022.822545,1.022822545,2.93,0.349086193,0.650913807,1.480994856
2/3/2024,T0,C,15,25.8,1.8441,34.6,1022.822545,1.022822545,2.93,0.349086193,0.650913807,2.833093998
2/3/2024,T0,C,6,25.8,1.6172,34.6,1022.822545,1.022822545,2.93,0.349086193,0.650913807,2.484507138
2/3/2024,T0,C,12,25.8,1.7996,34.6,1022.822545,1.022822545,2.93,0.349086193,0.650913807,2.764728572
2/3/2024,T0,SI,9,25.7,1.7532,34.7,1022.928945,1.022928945,2.93,0.3491225068,0.6508774932,2.693594445
2/3/2024,T0,M9,5,25.8,0.7115,34.6,1022.822545,1.022822545,2.93,0.349086193,0.650913807,1.093078672
2/3/2024,T0,M9,6,25.8,1.1159,34.6,1022.822545,1.022822545,2.93,0.349086193,0.650913807,1.714359087
2/3/2024,T0,SI,12,25.8,1.7007,34.6,1022.822545,1.022822545,2.93,0.349086193,0.650913807,2.612788332
2/3/2024,T0,C,11,25.7,2.0191,34.7,1022.928945,1.022928945,2.93,0.3491225068,0.6508774932,3.102119863
2/3/2024,T0,SI,15,25.8,1.3494,34.6,1022.822545,1.022822545,2.93,0.349086193,0.650913807,2.073085538
2/3/2024,T0,C,14,25.8,1.6945,34.6,1022.822545,1.022822545,2.93,0.349086193,0.650913807,2.603263261
2/3/2024,T0,C,16,25.7,1.8847,34.7,1022.928945,1.022928945,2.93,0.3491225068,0.6508774932,2.895629392
