Date,TP,Genotype,Tag,Temp (C),wet weight (g),Salinity (ppt),calcDensity,Density of seawater (g/cm3),Density of aragonite (g/cm3),Density (seawater/aragonite),1-[Density (SW/A)],Dry weight (g),Initial SurfaceArea (cm2)
3/16/2024,T3,C,18,26.4,1.5575,32.6,1021.128612,1.021128612,2.93,0.3485080588,0.6514919412,2.390666563,
3/23/2024,T3,SI,14,26.4,2.5247,32.5,1021.053319,1.021053319,2.93,0.3484823615,0.6515176385,3.875106138,
3/23/2024,T3,SI,10,26.4,1.3554,32.5,1021.053319,1.021053319,2.93,0.3484823615,0.6515176385,2.080373454,
3/23/2024,T3,M9,3,26.3,4.6571,32.5,1021.084444,1.021084444,2.93,0.3484929843,0.6515070157,7.14819624,
3/18/2024,T3,C,7,26.4,2.5422,32.6,1021.128612,1.021128612,2.93,0.3485080588,0.6514919412,3.902120409,
3/23/2024,T3,C,9,26.3,1.6199,32.5,1021.084444,1.021084444,2.93,0.3484929843,0.6515070157,2.486389188,
3/23/2024,T3,C,1,26.3,2.1356,32.5,1021.084444,1.021084444,2.93,0.3484929843,0.6515070157,3.277938608,
3/23/2024,T3,C,8,26.2,1.9542,32.5,1021.115491,1.021115491,2.93,0.3485035807,0.6514964193,2.99955601,
3/23/2024,T3,C,5,26.2,2.2951,32.5,1021.115491,1.021115491,2.93,0.3485035807,0.6514964193,3.522812915,
3/18/2024,T3,M9,2,26.4,2.2655,32.6,1021.128612,1.021128612,2.93,0.3485080588,0.6514919412,3.477402953,
3/23/2024,T3,SI,8,26,2.2314,32.5,1021.177355,1.021177355,2.93,0.3485246944,0.6514753056,3.425149013,
3/23/2024,T3,SI,7,26,3.0251,32.5,1021.177355,1.021177355,2.93,0.3485246944,0.6514753056,4.643460733,
3/23/2024,T3,SI,6,26,2.8087,32.5,1021.177355,1.021177355,2.93,0.3485246944,0.6514753056,4.31129158,
3/23/2024,T3,SI,1,26,2.0731,32.5,1021.177355,1.021177355,2.93,0.3485246944,0.6514753056,3.182162059,
3/23/2024,T3,M9,9,26,3.6499,32.5,1021.177355,1.021177355,2.93,0.3485246944,0.6514753056,5.602514736,
3/23/2024,T3,SI,2,26,2.2959,32.5,1021.177355,1.021177355,2.93,0.3485246944,0.6514753056,3.524155068,
3/23/2024,T3,M9,1,26,2.5695,32.5,1021.177355,1.021177355,2.93,0.3485246944,0.6514753056,3.944124939,
3/23/2024,T3,M9,8,26.1,1.3767,32.6,1021.221793,1.021221793,2.93,0.348539861,0.651460139,2.113252857,
3/23/2024,T3,SI,5,26.1,2.6645,32.6,1021.221793,1.021221793,2.93,0.348539861,0.651460139,4.090043029,
3/23/2024,T3,C,3,26.1,2.2563,32.6,1021.221793,1.021221793,2.93,0.348539861,0.651460139,3.463450586,
3/23/2024,T3,M9,4,26.1,0.8681,32.4,1021.071135,1.021071135,2.93,0.3484884419,0.6515115581,1.332439907,
3/23/2024,T3,SI,4,26.1,3.7278,32.4,1021.071135,1.021071135,2.93,0.3484884419,0.6515115581,5.721771093,
3/23/2024,T3,SI,11,26.1,1.0733,32.4,1021.071135,1.021071135,2.93,0.3484884419,0.6515115581,1.647399784,
3/23/2024,T3,C,13,26.1,1.2476,32.4,1021.071135,1.021071135,2.93,0.3484884419,0.6515115581,1.914931492,
3/23/2024,T3,C,15,26.1,2.4343,32.4,1021.071135,1.021071135,2.93,0.3484884419,0.6515115581,3.73638805,
3/23/2024,T3,C,6,26.2,1.9744,32.6,1021.19081,1.02119081,2.93,0.3485292866,0.6514707134,3.030681133,
3/23/2024,T3,C,12,26.2,2.0461,32.6,1021.19081,1.02119081,2.93,0.3485292866,0.6514707134,3.140739803,
3/23/2024,T3,SI,9,26.2,2.0579,32.6,1021.19081,1.02119081,2.93,0.3485292866,0.6514707134,3.158852666,
3/23/2024,T3,M9,5,26.2,0.9073,32.6,1021.19081,1.02119081,2.93,0.3485292866,0.6514707134,1.392694992,
3/23/2024,T3,M9,6,26.3,1.4912,32.6,1021.15975,1.02115975,2.93,0.3485186859,0.6514813141,2.288937484,
3/23/2024,T3,SI,12,26.3,2.0715,32.6,1021.15975,1.02115975,2.93,0.3485186859,0.6514813141,3.179676769,
3/11/2024,T3,C,11,26.5,2.3424,32.6,1021.097398,1.021097398,2.93,0.3484974055,0.6515025945,3.595380924,
3/23/2024,T3,SI,15,26.3,1.6376,32.6,1021.15975,1.02115975,2.93,0.3485186859,0.6514813141,2.513656132,
3/23/2024,T3,C,14,26.3,1.9974,32.6,1021.15975,1.02115975,2.93,0.3485186859,0.6514813141,3.065935978,
3/23/2024,T3,C,16,26.3,2.2315,32.6,1021.15975,1.02115975,2.93,0.3485186859,0.6514813141,3.42527092,
